geneID.day11,log2FC.day11,FDR.day11,geneID.day31,log2FC.day31,FDR.day31
,,,MICALCL,-1.58,6.69E-03
,,,PHYHIPL,0.93,6.73E-03
,,,AP000844.1,1.42,6.74E-03
,,,IFITM1,-0.98,6.75E-03
,,,U7.49,1.65,6.78E-03
,,,IFITM2,-1.00,6.83E-03
,,,AC079807.4,1.53,6.83E-03
,,,CREB5,0.93,6.83E-03
,,,ARID3C,1.50,6.83E-03
,,,KCNC2,1.38,6.91E-03
,,,HSH2D,-1.62,6.91E-03
,,,SLC12A2,-0.95,6.91E-03
,,,DNAJB5,0.94,6.91E-03
,,,PRKCDBP,-1.52,6.96E-03
,,,CCDC152,-0.99,6.97E-03
,,,AC011899.9,1.49,6.97E-03
,,,XXbac-BPG250I8.13,-1.76,6.97E-03
,,,RP13-225O21.2,0.92,6.97E-03
,,,CHST8,1.09,6.98E-03
,,,EMX2OS,0.96,7.01E-03
,,,TMEFF2,1.14,7.03E-03
,,,APBA1,1.01,7.03E-03
,,,RP4-751H13.6,0.93,7.04E-03
,,,RP11-255B23.4,-1.57,7.05E-03
,,,GPC2,0.99,7.07E-03
,,,RP11-440I14.2,-1.56,7.13E-03
,,,KB-1562D12.1,-1.83,7.13E-03
,,,AC016723.4,1.07,7.15E-03
,,,AC097639.1,-1.64,7.16E-03
,,,AGPAT9,-1.59,7.22E-03
,,,HES5,1.69,7.28E-03
,,,MPPED1,1.41,7.29E-03
,,,CPVL,-0.98,7.30E-03
,,,RP11-497K21.1,1.47,7.33E-03
,,,RTN1,1.08,7.35E-03
,,,VWA1,-0.96,7.36E-03
,,,RP4-761I2.4,-1.88,7.37E-03
,,,MAP6,1.13,7.38E-03
,,,MTMR11,-1.08,7.40E-03
,,,ADD2,1.02,7.40E-03
,,,DOCK9,-0.97,7.50E-03
,,,ALDH1A3,-1.01,7.52E-03
,,,CMTM7,-0.91,7.52E-03
,,,CD1D,-1.58,7.70E-03
,,,NCRNA00032,1.58,7.75E-03
,,,USP44,1.48,7.77E-03
,,,HSPB2,-1.49,7.78E-03
,,,CMTM6,-0.92,7.78E-03
,,,GPR98,0.92,7.78E-03
,,,KIAA0040,-1.54,7.88E-03
,,,FZD5,-1.02,7.90E-03
,,,AMOT,-1.02,7.92E-03
,,,AC012613.2,1.10,7.94E-03
,,,IFI6,-0.96,7.97E-03
,,,FAM124A,1.18,7.97E-03
,,,SORBS2,0.96,7.97E-03
,,,SPOCK1,0.95,7.98E-03
,,,FUCA2,-0.94,8.00E-03
,,,CEBPB,-0.94,8.02E-03
,,,SRCIN1,0.93,8.03E-03
,,,ARHGAP19,1.14,8.03E-03
,,,WBSCR17,1.03,8.07E-03
,,,FAM57B,0.94,8.08E-03
,,,RHOV,-1.70,8.10E-03
,,,DUSP8,0.94,8.10E-03
,,,LMO2,1.11,8.10E-03
,,,FOXN4,1.47,8.10E-03
,,,CTA-211A9.5,1.03,8.10E-03
,,,ARPC1B,-0.93,8.10E-03
,,,ANKRD36BP2,1.44,8.15E-03
,,,SLC6A20,-1.65,8.20E-03
,,,PTPN5,0.98,8.21E-03
,,,RP1-137D17.1,1.49,8.27E-03
,,,SHISA3,-1.66,8.34E-03
,,,MYO5A,1.01,8.37E-03
,,,AC019181.2,-1.65,8.44E-03
,,,SRRM3,0.93,8.46E-03
,,,SH2D4A,-1.50,8.48E-03
,,,RP11-296L22.8,1.51,8.48E-03
,,,OTOF,1.66,8.50E-03
,,,AKAP7,-0.99,8.50E-03
,,,C21orf77,1.56,8.51E-03
,,,AC097468.7,0.98,8.54E-03
,,,OSBPL6,0.94,8.59E-03
,,,KCNH3,1.32,8.60E-03
,,,AC007495.1,1.59,8.60E-03
,,,ZIM2,1.63,8.64E-03
,,,WDR87,1.60,8.69E-03
,,,DLX1,1.35,8.69E-03
,,,FER1L6,-1.52,8.71E-03
,,,C1orf106,-1.31,8.73E-03
,,,RP11-652L8.2,-1.57,8.74E-03
,,,SLC8A2,0.92,8.82E-03
,,,GSDMD,-1.41,8.88E-03
,,,KIF1A,1.19,8.89E-03
,,,CXorf57,1.19,8.94E-03
,,,MYL12A,-0.90,8.96E-03
,,,CADPS,0.97,8.97E-03
,,,CYP11A1,-1.46,9.03E-03
,,,TAPBP,-0.94,9.04E-03
,,,ATRNL1,0.92,9.05E-03
,,,KIF3C,1.03,9.10E-03
,,,POU3F1,1.18,9.13E-03
,,,RP11-100N20.1,-1.44,9.16E-03
,,,SLC44A3,-1.03,9.19E-03
,,,NRAP,-1.47,9.19E-03
,,,NAMPTL,-1.05,9.19E-03
,,,MSMB,-1.55,9.24E-03
,,,LUM,-1.13,9.24E-03
,,,CGREF1,1.18,9.24E-03
,,,SBK1,1.04,9.30E-03
,,,TMEM59L,0.95,9.33E-03
,,,NR5A2,-1.42,9.39E-03
,,,AC034228.4,1.39,9.44E-03
,,,PLCH1,0.89,9.56E-03
,,,RP11-82L18.4,1.60,9.56E-03
,,,ARHGAP33,0.93,9.63E-03
,,,RP11-160A10.3,1.61,9.63E-03
,,,TRIM38,-1.30,9.66E-03
,,,C8orf4,-0.94,9.70E-03
,,,EMILIN2,-0.96,9.73E-03
,,,PLEKHG3,-0.89,9.76E-03
,,,TMEM56,-1.09,9.77E-03
,,,TRIM31,-1.85,9.77E-03
,,,PSRC1,1.07,9.83E-03
,,,AC005544.1,1.00,9.85E-03
,,,PCK1,-1.75,9.85E-03
,,,IL1B,-1.57,9.92E-03
,,,DNMBP,-0.89,9.97E-03
,,,FOXA3,-1.44,9.99E-03
,,,ARHGEF35,-1.44,1.00E-02
,,,RP11-176D17.3,-0.92,1.00E-02
,,,ATP8B1,-0.90,1.02E-02
,,,TRIM36,1.02,1.02E-02
,,,CXCL2,-1.48,1.02E-02
,,,HOXA11-AS1,-1.49,1.02E-02
,,,SMTNL2,-1.01,1.02E-02
,,,ARL4D,1.00,1.02E-02
,,,AC004510.1,-1.90,1.02E-02
,,,GPR115,-1.69,1.02E-02
,,,GPM6B,0.94,1.03E-02
,,,FOXO1,-0.92,1.04E-02
,,,DCC,1.05,1.04E-02
,,,NCKAP5,0.90,1.04E-02
,,,OSBPL10,-0.98,1.04E-02
,,,MAN2A1,-0.97,1.04E-02
,,,RP11-159H10.3,1.50,1.05E-02
,,,CACNB1,0.89,1.06E-02
,,,FZD3,1.03,1.06E-02
,,,LRP2,-0.95,1.06E-02
,,,SYTL5,-1.46,1.06E-02
,,,MICAL2,-1.01,1.06E-02
,,,MATN2,-0.90,1.06E-02
,,,RP11-366M4.3,-1.46,1.06E-02
,,,AC010336.1,0.92,1.06E-02
,,,AC010441.1,-1.11,1.07E-02
,,,RP3-435D1.4,1.33,1.07E-02
,,,GPR50,1.51,1.07E-02
,,,RP5-1141O19.2,-1.55,1.07E-02
,,,ELF4,-1.02,1.07E-02
,,,CACNG4,0.94,1.08E-02
,,,ERBB4,0.96,1.08E-02
,,,C7orf51,0.88,1.09E-02
,,,CACNA2D1,1.00,1.09E-02
,,,DUSP2,-1.54,1.09E-02
,,,RP11-120J1.1,1.48,1.09E-02
,,,ASTN1,0.92,1.10E-02
,,,MAGT1,-0.90,1.12E-02
,,,AC007283.5,-1.37,1.13E-02
,,,RP11-411M4.1,1.52,1.14E-02
,,,ADAMTS19,-1.19,1.14E-02
,,,COL23A1,-0.92,1.14E-02
,,,APOL4,-1.66,1.14E-02
,,,LMO1,1.43,1.14E-02
,,,NDRG4,1.02,1.14E-02
,,,PRKCH,-1.16,1.15E-02
,,,ABLIM2,1.13,1.15E-02
,,,RGS16,-0.93,1.15E-02
,,,ELL2,-0.96,1.16E-02
,,,RP5-1103B4.3,1.36,1.16E-02
,,,MX1,-1.58,1.17E-02
,,,RP4-545C24.1,-1.37,1.19E-02
,,,CTD-2530H12.4,0.95,1.19E-02
,,,LCT,-1.88,1.20E-02
,,,NALCN,1.09,1.20E-02
,,,CPNE7,1.09,1.21E-02
,,,MME,-1.03,1.21E-02
,,,SCUBE3,-0.98,1.21E-02
,,,PURG,0.89,1.21E-02
,,,RP11-429E11.2,1.54,1.21E-02
,,,FST,-1.11,1.22E-02
,,,DGKI,1.06,1.22E-02
,,,CLDN3,-1.21,1.22E-02
,,,UPK1B,-1.64,1.22E-02
,,,SNORA31.24,1.35,1.22E-02
,,,C1orf150,-1.74,1.22E-02
,,,IL13RA2,1.69,1.23E-02
,,,GPR27,1.03,1.23E-02
,,,WDR47,0.88,1.23E-02
,,,FOSB,-1.61,1.23E-02
,,,SERPINB1,-1.40,1.23E-02
,,,EMP2,-0.89,1.24E-02
,,,ITGA3,-0.93,1.24E-02
,,,P2RX4,-1.06,1.25E-02
,,,A2M,-0.99,1.25E-02
,,,MIR548H1,1.37,1.25E-02
,,,INPP5D,-1.34,1.26E-02
,,,AC079154.1,1.40,1.26E-02
,,,LRRC10B,1.25,1.26E-02
,,,PLCH2,0.94,1.26E-02
,,,EPS8L1,-0.95,1.26E-02
,,,RP11-255B23.3,-1.44,1.26E-02
,,,SGSM1,1.13,1.27E-02
,,,CRIP2,0.87,1.27E-02
,,,AC091078.2,1.42,1.27E-02
,,,FAM83E,-1.51,1.27E-02
,,,CARD10,-0.96,1.27E-02
,,,ENPP6,1.54,1.27E-02
,,,RP11-629G13.1,1.37,1.27E-02
,,,KIAA1045,1.22,1.27E-02
,,,ST18,1.26,1.28E-02
,,,C7orf58,-0.88,1.28E-02
,,,CHCHD2,1.29,1.28E-02
,,,HIVEP3,0.93,1.28E-02
,,,ERC2,0.90,1.28E-02
,,,KCNIP1,1.08,1.29E-02
,,,KLF7,0.91,1.30E-02
,,,CTNND2,0.97,1.30E-02
,,,GLYATL2,1.19,1.30E-02
,,,RP3-518E13.2,1.69,1.30E-02
,,,RP4-601K24.1,-1.52,1.30E-02
,,,MIAT,1.06,1.30E-02
,,,CSGALNACT1,-1.24,1.31E-02
,,,TFCP2L1,-1.41,1.32E-02
,,,RP11-959I15.3,-1.49,1.32E-02
,,,RP11-766N7.3,1.49,1.32E-02
,,,VGLL3,-1.06,1.32E-02
,,,CHST1,0.93,1.33E-02
,,,SCG3,0.91,1.33E-02
,,,CDKN2D,0.98,1.33E-02
,,,RAP1GAP,0.88,1.33E-02
,,,LYPD3,-1.31,1.33E-02
,,,5S_rRNA.275,1.42,1.35E-02
,,,HNMT,-1.34,1.35E-02
,,,FAM155B,1.21,1.35E-02
,,,APBA2,0.90,1.36E-02
,,,APC2,1.03,1.36E-02
,,,RGS9,0.96,1.36E-02
,,,RP5-1024C24.1,1.34,1.36E-02
,,,SYNGR2,-1.01,1.36E-02
,,,RP11-669B22.1,1.40,1.37E-02
,,,RFPL1,1.27,1.37E-02
,,,RGMB,0.98,1.38E-02
,,,C11orf87,1.06,1.39E-02
,,,BMP1,-0.88,1.39E-02
,,,KCNS2,1.43,1.39E-02
,,,AC018816.4,-1.18,1.40E-02
,,,FAM176B,-0.90,1.40E-02
,,,KCNU1,1.48,1.40E-02
,,,ABCC9,-1.48,1.41E-02
,,,B3GNT8,-1.50,1.41E-02
,,,SH2D4B,1.46,1.41E-02
,,,RP3-377H17.2,1.33,1.42E-02
,,,BZRAP1,0.87,1.43E-02
,,,ITGB8,0.92,1.43E-02
,,,FURIN,-0.91,1.43E-02
,,,EGR2,-1.34,1.44E-02
,,,AC087749.1,-1.39,1.44E-02
,,,AC120194.1,-0.86,1.44E-02
,,,C11orf9,-0.85,1.45E-02
,,,SLC9A2,1.39,1.45E-02
,,,PHF21B,0.88,1.45E-02
,,,NID2,-0.98,1.45E-02
,,,ERO1L,-0.97,1.45E-02
,,,HAPLN2,1.41,1.46E-02
,,,PSD,0.89,1.46E-02
,,,ASB4,-1.22,1.46E-02
,,,SOX11,1.10,1.47E-02
,,,ALK,1.21,1.47E-02
,,,PDGFA,-1.04,1.47E-02
,,,AC078917.1,1.48,1.47E-02
,,,FEZF2,1.03,1.48E-02
,,,NFKBIZ,-0.89,1.48E-02
,,,KCNAB2,0.91,1.48E-02
,,,SYNM,1.01,1.48E-02
,,,RAB34,-0.86,1.48E-02
,,,RP11-80H8.4,1.47,1.48E-02
,,,U6.181,-1.45,1.48E-02
,,,SLC26A10,0.86,1.48E-02
,,,C6orf145,-0.87,1.49E-02
,,,RIT2,1.49,1.49E-02
,,,ICAM1,-0.89,1.50E-02
,,,CST3,-0.88,1.51E-02
,,,SMAP1,0.90,1.51E-02
,,,SLC2A10,-0.85,1.52E-02
,,,AC129492.6,1.49,1.52E-02
,,,AL359853.3,-1.20,1.52E-02
,,,CPXM2,-0.89,1.52E-02
,,,AC084809.2,-1.47,1.53E-02
,,,RP1-33E13.1,1.45,1.54E-02
,,,ANKRD56,-1.46,1.54E-02
,,,COBL,-1.03,1.55E-02
,,,TBX5,-1.48,1.56E-02
,,,LFNG,1.07,1.57E-02
,,,KYNU,-1.52,1.57E-02
,,,SCGN,1.37,1.57E-02
,,,CD2AP,-0.85,1.57E-02
,,,ATP2B3,0.97,1.57E-02
,,,ARHGAP42,-1.03,1.57E-02
,,,PODXL2,0.89,1.57E-02
,,,ME1,-1.20,1.58E-02
,,,RIC3,0.96,1.58E-02
,,,RIMBP2,0.86,1.58E-02
,,,GPR176,1.04,1.58E-02
,,,TP63,-1.59,1.59E-02
,,,ANK1,1.12,1.60E-02
,,,CXCL3,-1.31,1.60E-02
,,,CADM2,0.88,1.60E-02
,,,KCNT2,0.85,1.60E-02
,,,SOX1,1.42,1.60E-02
,,,RP4-798C17.6,-1.33,1.60E-02
,,,KCNB1,0.92,1.60E-02
,,,THSD1,1.42,1.60E-02
,,,SHISA6,1.34,1.60E-02
,,,TNFRSF10D,-0.98,1.60E-02
,,,REEP2,0.85,1.61E-02
,,,KIAA1409,0.97,1.62E-02
,,,RP11-586D19.1,1.60,1.62E-02
,,,AC015959.1,1.45,1.63E-02
,,,TPPP,0.87,1.63E-02
,,,FCGRT,-0.86,1.64E-02
,,,AC117415.1,1.32,1.64E-02
,,,SOAT2,-1.81,1.64E-02
,,,ANO6,-0.91,1.65E-02
,,,MIR1252,1.39,1.65E-02
,,,ADCY1,0.91,1.65E-02
,,,TRIM34,-1.28,1.66E-02
,,,PARD3B,0.84,1.66E-02
,,,RP3-512E2.2,1.17,1.66E-02
,,,TRIM6-TRIM34,-1.28,1.66E-02
,,,RHOBTB1,-0.86,1.66E-02
,,,SLC24A4,1.39,1.67E-02
,,,EPHA10,1.00,1.67E-02
,,,GABRD,1.48,1.67E-02
,,,ARSE,-1.29,1.68E-02
,,,SLC2A8,-0.87,1.68E-02
,,,GRAMD2,-1.36,1.68E-02
,,,RP11-445F12.1,1.49,1.68E-02
,,,TRIM67,0.91,1.69E-02
,,,CACNA1I,1.08,1.69E-02
,,,SVOP,1.20,1.69E-02
,,,SH3D21,-0.86,1.69E-02
,,,ANXA2,-0.88,1.69E-02
,,,RP11-202D20.1,-0.99,1.69E-02
,,,AC018665.1,0.86,1.70E-02
,,,SORCS3,1.13,1.70E-02
,,,PPP4R4,1.22,1.70E-02
,,,ADCY8,1.50,1.71E-02
,,,CIB1,-0.92,1.71E-02
,,,RP11-380D23.2,-1.45,1.72E-02
,,,BSPRY,-1.44,1.73E-02
,,,RP4-706A16.2,1.44,1.73E-02
,,,RP11-118B22.4,1.35,1.73E-02
,,,RP1-76B20.11,1.32,1.73E-02
,,,AC098869.1,-1.34,1.73E-02
,,,RP11-57H12.3,-1.06,1.74E-02
,,,UBA7,-1.21,1.74E-02
,,,AC011357.1,0.84,1.75E-02
,,,RAB6B,0.95,1.75E-02
,,,BEX2,0.94,1.75E-02
,,,EPHA4,0.84,1.76E-02
,,,CECR6,0.95,1.76E-02
,,,AC005481.5,1.27,1.76E-02
,,,CTC-338M12.5,1.40,1.77E-02
,,,GDAP1,0.84,1.79E-02
,,,PDP1,0.83,1.79E-02
,,,PRTG,-0.90,1.79E-02
,,,HNF1B,-1.54,1.79E-02
,,,PTPN14,-0.91,1.80E-02
,,,CRABP1,1.02,1.80E-02
,,,COL2A1,-1.09,1.80E-02
,,,DUSP26,1.50,1.80E-02
,,,AL137002.1,0.83,1.81E-02
,,,DCLK1,0.97,1.81E-02
,,,KCNIP2,0.85,1.82E-02
,,,MCOLN3,-1.54,1.82E-02
,,,GLT1D1,1.65,1.82E-02
,,,PGM2L1,0.94,1.82E-02
,,,PYGL,-0.86,1.82E-02
,,,TRIM46,0.92,1.83E-02
,,,RIMS1,1.18,1.84E-02
,,,MGAT5B,0.86,1.84E-02
,,,SLC27A6,-1.11,1.84E-02
,,,CTD-2195M18.1,1.35,1.84E-02
,,,AVPI1,-1.11,1.86E-02
,,,AC010990.1,-1.03,1.86E-02
,,,DISP2,1.02,1.86E-02
,,,AC098617.1,1.24,1.88E-02
,,,SNPH,0.83,1.89E-02
,,,PHLPP1,0.84,1.89E-02
,,,MT2A,-1.36,1.89E-02
,,,TSPO,1.12,1.90E-02
,,,KCNN3,1.12,1.91E-02
,,,CTSB,-1.01,1.91E-02
,,,KIAA1324,1.12,1.92E-02
,,,TES,-0.85,1.92E-02
,,,PDLIM2,-0.95,1.93E-02
,,,CTD-2175A23.1,-0.85,1.94E-02
,,,JPH4,0.87,1.94E-02
,,,HDAC9,0.84,1.94E-02
,,,CXCL12,-0.85,1.95E-02
,,,ZFR2,0.83,1.95E-02
,,,ELOVL2,0.91,1.96E-02
,,,CNTN1,0.88,1.96E-02
,,,HCN3,0.86,1.96E-02
,,,KCNK10,1.18,1.96E-02
,,,CNTN2,1.05,1.98E-02
,,,C13orf15,-1.02,1.98E-02
,,,IQCJ,1.48,1.99E-02
,,,BEX1,0.84,1.99E-02
,,,DDX60,-1.33,2.00E-02
,,,EPB49,0.88,2.00E-02
,,,GRHL1,-1.03,2.01E-02
,,,GPX2,-1.56,2.01E-02
,,,TFRC,-0.90,2.01E-02
,,,UGT2B7,-1.45,2.01E-02
,,,TMPRSS13,-1.45,2.02E-02
,,,BAMBI,-0.83,2.02E-02
,,,AC093642.1,1.46,2.03E-02
,,,RP11-453E2.2,1.57,2.04E-02
,,,CD63,-0.95,2.04E-02
,,,RP11-247A12.2,-0.83,2.04E-02
,,,RP11-1081L13.4,0.91,2.05E-02
,,,AC036222.1,-1.55,2.05E-02
,,,SEMA4B,-0.83,2.06E-02
,,,SSFA2,-0.89,2.06E-02
,,,DIRAS2,0.86,2.06E-02
,,,NDUFA4L2,1.29,2.07E-02
,,,WSCD1,0.89,2.07E-02
,,,GLI3,0.94,2.07E-02
,,,JAKMIP3,1.12,2.07E-02
,,,RP11-397O8.4,1.40,2.08E-02
,,,CTC-458I2.2,-0.91,2.08E-02
,,,PTPN6,-1.34,2.08E-02
,,,CYP2S1,-0.95,2.08E-02
,,,GPR144,1.49,2.09E-02
,,,RAB11FIP1,-0.86,2.09E-02
,,,GATA2,-1.16,2.09E-02
,,,KCNJ8,-1.31,2.10E-02
,,,RP11-993B23.3,-1.47,2.10E-02
,,,SLC35F4,1.44,2.11E-02
,,,ELOVL7,-1.29,2.11E-02
,,,TWIST1,-0.86,2.11E-02
,,,ITPR3,-0.87,2.11E-02
,,,MYO1C,-0.87,2.11E-02
,,,MYO1A,-1.67,2.11E-02
,,,AC007920.1,1.35,2.13E-02
,,,RP11-1000B6.2,1.39,2.13E-02
,,,FTL,-1.01,2.14E-02
,,,RP11-958J22.1,1.55,2.16E-02
,,,SUCLG2,-0.96,2.19E-02
,,,RP11-342C20.3,1.47,2.19E-02
,,,HNF4G,-1.49,2.19E-02
,,,RP11-234B24.2,1.39,2.19E-02
,,,RP11-521M14.1,1.54,2.19E-02
,,,FOXO6,1.11,2.19E-02
,,,HOXA10,-1.54,2.19E-02
,,,AC002066.1,-0.84,2.20E-02
,,,TRIM9,0.91,2.20E-02
,,,PLP2,-1.00,2.20E-02
,,,AC073130.3,-0.83,2.22E-02
,,,SDC1,-0.85,2.22E-02
,,,GLB1,-0.89,2.22E-02
,,,RP11-111M22.2,0.84,2.22E-02
,,,AC012215.1,1.20,2.23E-02
,,,ZSWIM5,0.91,2.23E-02
,,,IER5L,-0.83,2.23E-02
,,,PCNXL2,0.81,2.23E-02
,,,ETS1,-0.82,2.24E-02
,,,C17orf91,-1.06,2.25E-02
,,,RP1-104O17.2,1.42,2.25E-02
,,,ECE2,0.96,2.25E-02
,,,RP11-323P17.1,1.26,2.27E-02
,,,CLCN4,0.82,2.27E-02
,,,TNC,-0.96,2.28E-02
,,,SLC7A14,1.31,2.29E-02
,,,PTH2R,1.36,2.30E-02
,,,UNC5D,0.83,2.30E-02
,,,AC079328.1,-0.95,2.31E-02
,,,TXNDC3,-1.36,2.31E-02
,,,COX6B2,1.07,2.31E-02
,,,TRIM71,-1.22,2.31E-02
,,,FAM57A,-0.86,2.31E-02
,,,RP11-430H10.4,1.59,2.31E-02
,,,SNTB1,-0.87,2.32E-02
,,,TMEM141,-0.81,2.34E-02
,,,NOS1AP,0.82,2.36E-02
,,,RP11-318C24.2,1.29,2.36E-02
,,,AC108724.1,1.46,2.36E-02
,,,CYB5R2,-1.17,2.38E-02
,,,RNF43,-0.97,2.38E-02
,,,AC092214.10,-1.39,2.38E-02
,,,HCN4,1.09,2.38E-02
,,,AC019118.2,1.37,2.38E-02
,,,ATP10B,-1.14,2.38E-02
,,,LRCH2,0.85,2.38E-02
,,,TMEM45A,-0.94,2.40E-02
,,,PDGFRB,-0.91,2.40E-02
,,,FAM89A,-0.92,2.40E-02
,,,SMARCA1,-0.93,2.42E-02
,,,RNF157,0.83,2.43E-02
,,,NOS1,1.37,2.43E-02
,,,TRIP10,-0.81,2.43E-02
,,,AXL,-0.81,2.43E-02
,,,UPP2,1.37,2.43E-02
,,,CTNNA2,0.95,2.43E-02
,,,RAB39B,1.09,2.43E-02
,,,CCBP2,-1.40,2.44E-02
,,,AC091878.1,1.08,2.45E-02
,,,AC108025.2,1.37,2.47E-02
,,,LHFPL4,1.14,2.47E-02
,,,CEP72,0.81,2.47E-02
,,,KCNK5,-1.43,2.49E-02
,,,RP11-326F20.5,-1.20,2.49E-02
,,,FAM78B,1.15,2.49E-02
,,,KIF5C,1.02,2.49E-02
,,,RP11-216L13.8,-0.82,2.50E-02
,,,LRFN2,1.36,2.52E-02
,,,DOCK8,-1.31,2.52E-02
,,,C3orf14,1.05,2.52E-02
,,,MSTN,1.33,2.52E-02
,,,CDH13,1.22,2.53E-02
,,,LIX1,0.83,2.53E-02
,,,C7orf16,1.24,2.53E-02
,,,RGL3,-0.85,2.55E-02
,,,EHD2,-0.83,2.55E-02
,,,TDP2,-0.80,2.55E-02
,,,PTHLH,-1.44,2.57E-02
,,,ARRDC3,-0.87,2.57E-02
,,,DNAH10OS,0.81,2.58E-02
,,,SERPINB10,-1.51,2.58E-02
,,,AC003075.4,-1.34,2.59E-02
,,,PACSIN1,1.08,2.59E-02
,,,SLC22A14,1.20,2.60E-02
,,,AC138128.1,-1.35,2.62E-02
,,,CTC-349C3.1,-1.36,2.62E-02
,,,NECAB2,1.00,2.63E-02
,,,ART3,-1.39,2.63E-02
,,,HOXA13,-1.48,2.63E-02
,,,PON1,-1.31,2.64E-02
,,,RP11-445H22.3,1.11,2.64E-02
,,,AC098617.2,1.15,2.65E-02
,,,CELSR2,0.92,2.65E-02
,,,LHX1,1.40,2.65E-02
,,,TRIM56,-0.87,2.67E-02
,,,HSPB1,-0.80,2.67E-02
,,,SLK,-0.86,2.68E-02
,,,BTG2,-0.78,2.68E-02
,,,AC137723.5,1.27,2.70E-02
,,,MAPK8IP1,0.81,2.73E-02
,,,CGNL1,-0.80,2.73E-02
,,,AGPAT2,-0.80,2.73E-02
,,,IL10RA,1.37,2.74E-02
,,,STMN3,0.79,2.74E-02
,,,CTC-575N7.1,-1.03,2.74E-02
,,,DARC,1.29,2.75E-02
,,,MAP1B,1.13,2.76E-02
,,,CYBA,-0.79,2.76E-02
,,,EPN3,-1.40,2.76E-02
,,,EMR3,-0.89,2.76E-02
,,,NFKB1,-1.01,2.77E-02
,,,CRISPLD1,-0.84,2.77E-02
,,,SCRT1,1.32,2.77E-02
,,,PPP1R1A,0.85,2.79E-02
,,,CAPN12,-0.79,2.79E-02
,,,SLC6A7,1.11,2.81E-02
,,,KAZALD1,-1.10,2.81E-02
,,,RP11-664H17.1,1.28,2.81E-02
,,,AC096669.2,1.34,2.81E-02
,,,RP11-31L22.3,1.20,2.83E-02
,,,ATCAY,0.86,2.83E-02
,,,S100A1,-1.37,2.83E-02
,,,L1CAM,0.94,2.84E-02
,,,NECAP1,-1.00,2.84E-02
,,,CTD-2383M3.1,-1.30,2.85E-02
,,,SNCA,0.80,2.85E-02
,,,C20orf203,1.24,2.86E-02
,,,HOXA9,-1.23,2.88E-02
,,,NAP1L3,0.85,2.88E-02
,,,OPRM1,1.33,2.89E-02
,,,AC006262.1,1.53,2.90E-02
,,,BLK,1.32,2.90E-02
,,,YIPF2,-0.78,2.91E-02
,,,SLC9A1,-0.78,2.91E-02
,,,TLCD1,-1.36,2.92E-02
,,,RIPK3,-1.26,2.93E-02
,,,CYP46A1,0.96,2.93E-02
,,,AL589734.1,-1.34,2.94E-02
,,,RP11-86H7.1,-1.13,2.96E-02
,,,ARHGEF5,-1.38,2.96E-02
,,,NDFIP2,-0.78,2.97E-02
,,,7SK.92,-1.24,2.97E-02
,,,PARVA,-0.79,2.98E-02
,,,C10orf31,1.33,3.01E-02
,,,ADAMTS17,-0.97,3.01E-02
,,,GYG1,-0.95,3.01E-02
,,,AC092068.1,0.80,3.01E-02
,,,GNG7,0.80,3.01E-02
,,,SLC5A7,-1.06,3.01E-02
,,,AC012354.5,1.34,3.04E-02
,,,Y_RNA.410,-1.39,3.06E-02
,,,PID1,0.90,3.06E-02
,,,SLC26A3,-1.42,3.08E-02
,,,DPYSL3,1.01,3.10E-02
,,,AC100791.3,1.29,3.10E-02
,,,CRMP1,0.98,3.11E-02
,,,IFIH1,-1.37,3.11E-02
,,,CYP3A4,1.27,3.12E-02
,,,ST8SIA3,1.02,3.13E-02
,,,YAP1,-0.89,3.14E-02
,,,SCAMP5,0.83,3.14E-02
,,,C1orf85,-0.81,3.14E-02
,,,EPHA1,-0.78,3.15E-02
,,,HSPG2,-0.99,3.16E-02
,,,KDELR3,-0.84,3.16E-02
,,,TRDMT1,1.00,3.16E-02
,,,GHRHR,1.21,3.16E-02
,,,RREB1,-0.79,3.16E-02
,,,GALNTL1,0.79,3.16E-02
,,,SOCS3,-0.80,3.17E-02
,,,CHRM2,-1.03,3.17E-02
,,,MYO1E,-0.78,3.18E-02
,,,GSTT1,-1.36,3.18E-02
,,,EMR2,-1.43,3.18E-02
,,,MXRA5,-0.90,3.19E-02
,,,FAM171B,0.81,3.20E-02
,,,MYLK,-0.80,3.20E-02
,,,SHF,0.79,3.21E-02
,,,ITPKA,-1.38,3.22E-02
,,,AC092143.1,0.80,3.22E-02
,,,CNPY1,1.36,3.22E-02
,,,SORCS1,0.96,3.25E-02
,,,POLD4,-0.93,3.25E-02
,,,ANKFN1,1.45,3.25E-02
,,,SYBU,0.86,3.26E-02
,,,ALOX12B,1.37,3.27E-02
,,,CLGN,0.93,3.28E-02
,,,GNG3,0.91,3.29E-02
,,,MEST,-0.89,3.29E-02
,,,SERINC5,-0.88,3.29E-02
,,,ZC4H2,0.81,3.29E-02
,,,CENPF,0.81,3.29E-02
,,,APCDD1,0.77,3.29E-02
,,,SLC17A9,-1.26,3.30E-02
,,,SNHG8,-0.87,3.31E-02
,,,RP11-76P2.2,1.21,3.31E-02
,,,NPC2,-0.80,3.32E-02
,,,NAV3,0.78,3.33E-02
,,,HPCAL1,0.77,3.33E-02
,,,ZNF385D,1.04,3.33E-02
,,,CDCA7L,0.84,3.33E-02
,,,AC013416.1,1.34,3.33E-02
,,,FBXL16,0.79,3.34E-02
,,,SLC17A5,-0.77,3.34E-02
