Symbol,GeneName,ProbeName,RefSeq,FC,RP rank
ENST00000321448,,A_23_P370162,ns,0.86,1103
AK127884,,A_24_P19884,b,0.86,1104
BG190831,,A_24_P101455,b,0.86,1105
THC2334619,,A_24_P450870,hc,1.12,1106
FLJ35785,hypothetical protein FLJ35785,A_32_P85273,NM_173613,1.15,1107
FLJ12584,melanoma/melanocyte specific protein KU-MEL-1,A_23_P209731,NM_025139,1.16,1108
EGR1,early growth response 1,A_23_P214080,NM_001964,1.16,1109
RAB20,"RAB20, member RAS oncogene family",A_24_P22050,NM_017817,1.15,1110
FILIP1,filamin A interacting protein 1,A_23_P436369,NM_015687,0.85,1111
PLD1,"phospholipase D1, phophatidylcholine-specific",A_23_P155335,NM_002662,0.85,1112
AK123483,,A_24_P886966,b,1.15,1113
AK095564,,A_24_P912228,b,1.15,1114
ZFP36,"zinc finger protein 36, C3H type, homolog (mouse)",A_23_P39237,NM_003407,0.87,1115
SLC37A3,"solute carrier family 37 (glycerol-3-phosphate transporter), member 3",A_23_P95130,NM_207113,1.15,1116
BE708118,,A_32_P158053,b,1.08,1117
BQ929021,,A_32_P92814,b,1.14,1118
A_24_P16291,,A_24_P16291,0,1.14,1119
MYO18A,myosin XVIIIA,A_23_P78122,NM_078471,0.86,1120
THC2313842,,A_32_P197432,hc,1.14,1121
PPARG,"peroxisome proliferative activated receptor, gamma",A_23_P252062,NM_138711,NA,1122
JAG1,jagged 1 (Alagille syndrome),A_23_P210763,NM_000214,0.85,1123
CD359021,,A_24_P306585,b,NA,1124
BZW2,basic leucine zipper and W2 domains 2,A_23_P157215,NM_014038,1.14,1125
DHX33,DEAH (Asp-Glu-Ala-His) box polypeptide 33,A_24_P364970,NM_020162,0.86,1126
MGC45806,hypothetical protein MGC45806,A_23_P434919,NM_152304,0.84,1127
DKK3,dickkopf homolog 3 (Xenopus laevis),A_23_P162047,NM_015881,1.15,1128
CDC14A,CDC14 cell division cycle 14 homolog A (S. cerevisiae),A_23_P424472,NM_003672,1.15,1129
TPCN2,two pore segment channel 2,A_24_P6933,b,1.15,1130
TNFRSF21,"tumor necrosis factor receptor superfamily, member 21",A_23_P42065,NM_014452,NA,1131
LOC286144,hypothetical protein LOC286144,A_32_P117313,b,0.89,1132
RNF125,ring finger protein 125,A_23_P101141,NM_017831,0.86,1133
PRKCZ,"protein kinase C, zeta",A_23_P51187,NM_002744,1.09,1134
RRM2,ribonucleotide reductase M2 polypeptide,A_24_P234196,NM_001034,0.85,1135
PTPRO,"protein tyrosine phosphatase, receptor type, O",A_23_P204304,NM_030667,1.15,1136
AA219130,,A_32_P33802,b,1.14,1137
PARP12,"poly (ADP-ribose) polymerase family, member 12",A_23_P111804,NM_022750,0.86,1138
ST3GAL5,"ST3 beta-galactoside alpha-2,3-sialyltransferase 5",A_23_P311869,NM_003896,NA,1139
THC2407956,,A_32_P193194,hc,1.15,1140
THC2442515,,A_32_P30434,hc,1.16,1141
ATP1B2,"ATPase, Na+/K+ transporting, beta 2 polypeptide",A_24_P31275,NM_001678,1.17,1142
MGC34725,hypothetical protein MGC34725,A_23_P313550,NM_173637,1.10,1143
ETV7,ets variant gene 7 (TEL2 oncogene),A_23_P42353,NM_016135,1.16,1144
LTB,"lymphotoxin beta (TNF superfamily, member 3)",A_23_P93348,NM_002341,1.14,1145
ZNF629,zinc finger protein 629,A_23_P163820,b,0.85,1146
MLL4,myeloid/lymphoid or mixed-lineage leukemia 4,A_23_P142421,NM_014727,0.86,1147
SNX10,sorting nexin 10,A_24_P98109,NM_013322,0.84,1148
EBI3,Epstein-Barr virus induced gene 3,A_23_P119478,NM_005755,1.15,1149
ZFHX2,zinc finger homeobox 2,A_32_P226205,NM_033400,1.15,1150
BC071811,,A_23_P50646,b,0.83,1151
THC2416695,,A_32_P19193,hc,0.86,1152
CASP10,"caspase 10, apoptosis-related cysteine protease",A_23_P209408,NM_032977,0.85,1153
EMR1,"egf-like module containing, mucin-like, hormone receptor-like 1",A_23_P27556,NM_001974,1.12,1154
IL16,interleukin 16 (lymphocyte chemoattractant factor),A_24_P73599,NM_172217,1.15,1155
BC032451,,A_24_P677559,b,0.88,1156
DNMT2,DNA (cytosine-5-)-methyltransferase 2,A_23_P115636,NM_004412,0.85,1157
PRKCSH,protein kinase C substrate 80K-H,A_24_P396197,NM_002743,0.87,1158
ARNT2,aryl-hydrocarbon receptor nuclear translocator 2,A_23_P83579,NM_014862,1.10,1159
BCAS3,breast carcinoma amplified sequence 3,A_23_P141680,NM_017679,0.85,1160
AL110257,,A_23_P3295,b,1.14,1161
PHLDA1,"pleckstrin homology-like domain, family A, member 1",A_23_P76450,NM_007350,0.85,1162
PARD3,par-3 partitioning defective 3 homolog (C. elegans),A_24_P35478,NM_019619,0.86,1163
RABGAP1L,RAB GTPase activating protein 1-like,A_24_P316005,NM_014857,1.14,1164
AF035022,,A_24_P860662,b,0.86,1165
A_24_P221285,,A_24_P221285,0,0.86,1166
FLJ10652,hypothetical protein FLJ10652,A_24_P273561,NM_018169,0.86,1167
ISG20,interferon stimulated exonuclease gene 20kDa,A_23_P32404,NM_002201,0.84,1168
LOC283663,hypothetical protein LOC283663,A_32_P8813,b,0.86,1169
DNAH8,"dynein, axonemal, heavy polypeptide 8",A_24_P308051,NM_001371,1.15,1170
HYPE,Huntingtin interacting protein E,A_23_P128246,NM_007076,0.86,1171
A_24_P418386,,A_24_P418386,0,0.86,1172
DDX6,DEAD (Asp-Glu-Ala-Asp) box polypeptide 6,A_24_P215407,NM_004397,0.86,1173
CFL1,cofilin 1 (non-muscle),A_32_P148710,NM_005507,0.87,1174
RAPGEF2,Rap guanine nucleotide exchange factor (GEF) 2,A_23_P133095,b,0.84,1175
ECAT8,ES cell associated transcript 8,A_32_P79763,b,1.11,1176
THC2375353,,A_32_P224449,hc,0.86,1177
A_23_P77389,,A_23_P77389,0,1.14,1178
A_23_P301803,,A_23_P301803,0,0.88,1179
IFI44,interferon-induced protein 44,A_23_P23074,NM_006417,0.85,1180
GALM,galactose mutarotase (aldose 1-epimerase),A_24_P212539,NM_138801,1.14,1181
NEDD4,"neural precursor cell expressed, developmentally down-regulated 4",A_23_P331379,NM_006154,0.86,1182
ENST00000343903,,A_24_P221745,ns,0.84,1183
NDFIP1,Nedd4 family interacting protein 1,A_23_P81247,NM_030571,0.86,1184
CD2BP2,CD2 antigen (cytoplasmic tail) binding protein 2,A_24_P236522,b,0.86,1185
ENST00000308384,,A_24_P170136,ns,1.15,1186
TXNIP,thioredoxin interacting protein,A_23_P97700,NM_006472,1.15,1187
ENST00000357180,,A_23_P34710,ns,1.15,1188
LAX1,lymphocyte transmembrane adaptor 1,A_24_P370952,NM_017773,NA,1189
FLJ20054,hypothetical protein FLJ20054,A_23_P320897,NM_019049,1.14,1190
PRKACB,"protein kinase, cAMP-dependent, catalytic, beta",A_24_P62708,NM_002731,0.85,1191
FLJ10847,hypothetical protein FLJ10847,A_23_P207221,NM_018242,1.13,1192
FLJ30428,similar to hypothetical protein A230046P18; cDNA sequence BC055759,A_24_P508103,b,1.14,1193
CPNE2,copine II,A_23_P37988,NM_152727,1.15,1194
CCPG1,cell cycle progression 1,A_23_P346006,NM_020739,0.86,1195
BX640636,,A_23_P251916,b,1.13,1196
ENST00000321005,,A_24_P75708,ns,0.87,1197
PSEN2,presenilin 2 (Alzheimer disease 4),A_24_P62521,NM_000447,0.86,1198
NCF1,"neutrophil cytosolic factor 1 (47kDa, chronic granulomatous disease, autosomal 1)",A_32_P116203,NM_000265,0.86,1199
CCR7,chemokine (C-C motif) receptor 7,A_23_P343398,NM_001838,1.15,1200
FLJ31033,hypothetical protein FLJ31033,A_23_P30069,b,0.85,1201
ENST00000258884,,A_23_P369701,ns,0.85,1202
TRIT1,tRNA isopentenyltransferase 1,A_23_P12062,NM_017646,1.15,1203
LHX2,LIM homeobox 2,A_23_P32165,NM_004789,0.87,1204
PRKD3,protein kinase D3,A_24_P162911,NM_005813,1.14,1205
KIAA1166,KIAA1166,A_23_P62188,NM_018684,1.14,1206
ECGF1,endothelial cell growth factor 1 (platelet-derived),A_23_P91802,NM_001953,0.86,1207
MCC,mutated in colorectal cancers,A_23_P377115,NM_002387,0.86,1208
A_32_P32315,,A_32_P32315,0,1.14,1209
NUDT12,nudix (nucleoside diphosphate linked moiety X)-type motif 12,A_24_P72012,NM_031438,1.10,1210
UST,uronyl-2-sulfotransferase,A_23_P314145,NM_005715,1.12,1211
ENST00000361266,,A_24_P92174,ns,0.87,1212
THC2358845,,A_32_P33213,hc,1.15,1213
MAN1A2,"mannosidase, alpha, class 1A, member 2",A_23_P103571,NM_006699,0.85,1214
SLC10A2,"solute carrier family 10 (sodium/bile acid cotransporter family), member 2",A_23_P140009,NM_000452,0.88,1215
BNIP3L,BCL2/adenovirus E1B 19kDa interacting protein 3-like,A_23_P134925,NM_004331,1.14,1216
CDKN1C,"cyclin-dependent kinase inhibitor 1C (p57, Kip2)",A_23_P428129,NM_000076,NA,1217
FLJ32009,hypothetical protein FLJ32009,A_23_P52986,NM_152718,0.86,1218
AF075027,,A_32_P206839,b,0.85,1219
HBE1,"hemoglobin, epsilon 1",A_23_P47665,NM_005330,NA,1220
AB046850,,A_32_P875758,b,0.87,1221
ZAP70,zeta-chain (TCR) associated protein kinase 70kDa,A_24_P169234,NM_001079,NA,1222
IL13RA1,"interleukin 13 receptor, alpha 1",A_23_P137196,NM_001560,1.15,1223
ENST00000332935,,A_24_P33982,ns,NA,1224
FLJ32679,hypothetical protein FLJ32679,A_32_P59116,NM_001012452,1.14,1225
AK024926,,A_32_P165407,b,0.88,1226
MGC24975,hypothetical protein MGC24975,A_23_P372988,NM_153359,NA,1227
ARL4,ADP-ribosylation factor-like 4,A_32_P806841,NM_005738,0.84,1228
C14orf118,chromosome 14 open reading frame 118,A_23_P54205,NM_017926,NA,1229
LOC91614,novel 58.3 KDA protein,A_23_P385126,NM_139160,0.85,1230
AI096653,,A_32_P233727,b,1.14,1231
SLC16A6,"solute carrier family 16 (monocarboxylic acid transporters), member 6",A_23_P152791,NM_004694,0.86,1232
PLA1A,phospholipase A1 member A,A_23_P29816,NM_015900,0.85,1233
CARD15,"caspase recruitment domain family, member 15",A_23_P420863,NM_022162,1.14,1234
TRO,trophinin,A_23_P217228,NM_016157,1.10,1235
PCYOX1,prenylcysteine oxidase 1,A_24_P940517,NM_016297,1.14,1236
CR596670,,A_23_P97218,b,1.14,1237
ETEA,expressed in T-cells and eosinophils in atopic dermatitis,A_23_P156109,NM_014613,0.87,1238
THC2314371,,A_24_P713312,hc,0.86,1239
ASMTL,acetylserotonin O-methyltransferase-like,A_23_P159539,NM_004192,1.14,1240
RHOU,"ras homolog gene family, member U",A_23_P114814,NM_021205,0.86,1241
FLJ12442,hypothetical protein FLJ12442,A_23_P44836,NM_022908,0.87,1242
THC2385388,,A_32_P178746,hc,1.14,1243
AF241539,,A_23_P41553,b,0.88,1244
OTUD1,OTU domain containing 1,A_32_P60459,b,0.87,1245
PNPLA4,patatin-like phospholipase domain containing 4,A_24_P943815,NM_004650,1.14,1246
ADD3,adducin 3 (gamma),A_24_P90097,NM_016824,0.88,1247
STAT5A,signal transducer and activator of transcription 5A,A_23_P207367,NM_003152,1.15,1248
AK021693,,A_24_P664939,b,1.13,1249
NKPD1,"NTPase, KAP family P-loop domain containing 1",A_32_P319858,NM_198478,1.14,1250
ASPH,aspartate beta-hydroxylase,A_24_P18105,NM_032466,NA,1251
ENST00000317571,,A_23_P308305,ns,1.14,1252
CRYM,"crystallin, mu",A_23_P77731,NM_001888,0.84,1253
MOV10,"Mov10, Moloney leukemia virus 10, homolog (mouse)",A_23_P161125,NM_020963,0.87,1254
TNFRSF11A,"tumor necrosis factor receptor superfamily, member 11a, NFKB activator",A_23_P390518,NM_003839,0.86,1255
SLC27A2,"solute carrier family 27 (fatty acid transporter), member 2",A_23_P140450,NM_003645,NA,1256
DOCK6,dedicator of cytokinesis 6,A_23_P67299,NM_020812,0.86,1257
BC022398,,A_24_P696924,b,NA,1258
FLJ22457,hypothetical protein FLJ22457,A_23_P85952,NM_024901,0.86,1259
MGC10986,hypothetical protein MGC10986,A_23_P26824,NM_030576,0.86,1260
NEDD4L,"neural precursor cell expressed, developmentally down-regulated 4-like",A_23_P387856,NM_015277,0.87,1261
PTPN3,"protein tyrosine phosphatase, non-receptor type 3",A_23_P403898,NM_002829,NA,1262
BMP2K,BMP2 inducible kinase,A_24_P86240,NM_198892,0.86,1263
TIFA,TRAF-interacting protein with a forkhead-associated domain,A_24_P350686,NM_052864,1.14,1264
TNFRSF21,"tumor necrosis factor receptor superfamily, member 21",A_23_P30666,NM_014452,0.85,1265
FCRL4,Fc receptor-like 4,A_23_P115200,NM_031282,0.87,1266
A_24_P279760,,A_24_P279760,0,0.86,1267
DNAJB9,"DnaJ (Hsp40) homolog, subfamily B, member 9",A_23_P258944,NM_012328,0.86,1268
VDR,"vitamin D (1,25- dihydroxyvitamin D3) receptor",A_23_P162589,NM_001017535,1.13,1269
CR593388,,A_24_P576191,b,0.86,1270
IGLV6-57,immunoglobulin lambda variable 6-57,A_24_P170584,b,0.86,1271
A_24_P212997,,A_24_P212997,0,1.11,1272
BC018597,,A_32_P137604,b,1.15,1273
XCL1,chemokine (C motif) ligand 1,A_24_P45476,NM_002995,0.91,1274
LOC119710,HEPIS,A_24_P252846,NM_138787,0.88,1275
GTF2IRD1,GTF2I repeat domain containing 1,A_23_P111621,NM_005685,1.14,1276
LOC392314,similar to High mobility group protein 4 (HMG-4) (High mobility group protein 2a) (HMG-2a),A_32_P104617,b,1.14,1277
MTP,"microsomal triglyceride transfer protein (large polypeptide, 88kDa)",A_23_P213171,NM_000253,0.86,1278
LOC442746,similar to immune associated nucleotide 4 like 1; immunity associated protein 3,A_24_P92624,b,1.14,1279
THC2373940,,A_32_P178966,hc,1.14,1280
CASC4,cancer susceptibility candidate 4,A_24_P284213,NM_177974,0.86,1281
IRF4,interferon regulatory factor 4,A_23_P156505,NM_002460,0.86,1282
PAQR8,progestin and adipoQ receptor family member VIII,A_24_P334640,NM_133367,1.15,1283
SLCO4C1,"solute carrier organic anion transporter family, member 4C1",A_32_P154342,NM_180991,0.85,1284
BX415272,,A_32_P44047,b,1.11,1285
AQP3,aquaporin 3,A_23_P112481,NM_004925,0.87,1286
RAB11FIP1,RAB11 family interacting protein 1 (class I),A_23_P31873,NM_001002233,1.14,1287
GLCE,glucuronyl C5-epimerase,A_23_P151870,NM_015554,NA,1288
THC2370530,,A_24_P354488,hc,0.88,1289
OSM,oncostatin M,A_23_P166408,NM_020530,0.86,1290
ENST00000274979,,A_23_P335495,ns,1.14,1291
BCL11A,B-cell CLL/lymphoma 11A (zinc finger protein),A_24_P411186,NM_022893,1.12,1292
VPREB3,pre-B lymphocyte gene 3,A_23_P166371,NM_013378,1.14,1293
C19orf20,chromosome 19 open reading frame 20,A_23_P366682,NM_033513,0.87,1294
GRK5,G protein-coupled receptor kinase 5,A_23_P12884,NM_005308,1.13,1295
PIM2,pim-2 oncogene,A_24_P379104,NM_006875,0.88,1296
NFATC1,"nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1",A_23_P300150,NM_172387,1.15,1297
GPR56,G protein-coupled receptor 56,A_23_P206280,NM_201525,1.13,1298
RABGAP1L,RAB GTPase activating protein 1-like,A_24_P49349,NM_014857,1.14,1299
LOC286044,hypothetical protein LOC286044,A_24_P201064,b,1.14,1300
MARVELD2,MARVEL domain containing 2,A_23_P401675,NM_144724,1.15,1301
TPM1,tropomyosin 1 (alpha),A_24_P44462,NM_000366,NA,1302
37508,septin 10,A_23_P43175,NM_144710,1.12,1303
CDC2L2,cell division cycle 2-like 2 (PITSLRE proteins),A_24_P355772,NM_033532,0.87,1304
CBS,cystathionine-beta-synthase,A_23_P166306,NM_000071,1.13,1305
HSPA5BP1,"heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa) binding protein 1",A_23_P24716,NM_017870,1.12,1306
CLEC4A,"C-type lectin domain family 4, member A",A_23_P48029,NM_016184,1.11,1307
PHGDH,phosphoglycerate dehydrogenase,A_23_P85783,NM_006623,0.85,1308
GORASP2,"golgi reassembly stacking protein 2, 55kDa",A_24_P328320,NM_015530,0.89,1309
MGST1,microsomal glutathione S-transferase 1,A_23_P36658,NM_145791,0.86,1310
THC2377644,,A_32_P155832,hc,NA,1311
IL21R,interleukin 21 receptor,A_24_P227927,NM_181078,1.14,1312
MYLK,"myosin, light polypeptide kinase",A_23_P143817,NM_053025,0.87,1313
THC2292597,,A_24_P912587,hc,NA,1314
LOC63929,hypothetical protein LOC63929,A_24_P915710,b,NA,1315
WNT6,"wingless-type MMTV integration site family, member 6",A_23_P119916,NM_006522,0.86,1316
DERP6,S-phase 2 protein,A_23_P164289,NM_203414,1.05,1317
ATBF1,AT-binding transcription factor 1,A_23_P118266,NM_006885,1.15,1318
KL,klotho,A_23_P503064,NM_153683,0.88,1319
A_24_P930327,,A_24_P930327,0,1.10,1320
HLXB9,homeo box HB9,A_32_P6015,NM_005515,0.84,1321
AA307830,,A_24_P545200,b,1.14,1322
PLXNB2,plexin B2,A_32_P48397,b,0.87,1323
CYSLTR1,cysteinyl leukotriene receptor 1,A_23_P22660,NM_006639,1.14,1324
THC2429019,,A_24_P267814,hc,0.88,1325
HEY1,hairy/enhancer-of-split related with YRPW motif 1,A_32_P83845,NM_012258,0.86,1326
NPEPPS,aminopeptidase puromycin sensitive,A_23_P124912,NM_006310,1.13,1327
FLJ20315,hypothetical protein FLJ20315,A_23_P3934,NM_017763,0.86,1328
BF343856,,A_32_P213917,b,NA,1329
KCTD15,potassium channel tetramerisation domain containing 15,A_24_P22892,NM_024076,0.88,1330
C1orf165,chromosome 1 open reading frame 165,A_23_P904,NM_024603,NA,1331
ENST00000258884,,A_32_P39093,ns,0.86,1332
SLC16A10,"solute carrier family 16 (monocarboxylic acid transporters), member 10",A_24_P98047,NM_018593,1.13,1333
LYST,lysosomal trafficking regulator,A_23_P354074,NM_000081,1.14,1334
BC042028,,A_24_P759477,b,0.86,1335
BM457392,,A_32_P130522,b,1.14,1336
CDK2AP2,CDK2-associated protein 2,A_23_P104579,NM_005851,0.86,1337
FYN,"FYN oncogene related to SRC, FGR, YES",A_23_P502142,NM_002037,1.09,1338
ENST00000306804,,A_24_P152325,ns,0.87,1339
FAM49A,"family with sequence similarity 49, member A",A_23_P21560,NM_030797,1.15,1340
CR616003,,A_24_P65597,b,0.87,1341
KRAS,v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog,A_23_P45140,NM_033360,0.86,1342
BF213738,,A_23_P76480,b,1.01,1343
THC2405171,,A_32_P194742,hc,0.86,1344
KIAA0980,KIAA0980 protein,A_23_P143374,NM_025176,NA,1345
EDN1,endothelin 1,A_23_P214821,NM_001955,0.86,1346
A_32_P199506,,A_32_P199506,0,0.87,1347
FZD1,frizzled homolog 1 (Drosophila),A_24_P38276,NM_003505,0.85,1348
TMOD1,tropomodulin 1,A_23_P112289,NM_003275,1.14,1349
LOC201895,hypothetical protein LOC201895,A_23_P112634,NM_174921,1.12,1350
DYRK3,dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3,A_24_P345209,NM_001004023,1.14,1351
C21orf42,chromosome 21 open reading frame 42,A_23_P132057,NM_058184,1.14,1352
CCL23,chemokine (C-C motif) ligand 23,A_24_P319088,NM_005064,0.87,1353
CAPSL,calcyphosine-like,A_23_P133536,NM_144647,1.14,1354
TBC1D5,"TBC1 domain family, member 5",A_24_P289029,NM_014744,0.88,1355
E2F2,E2F transcription factor 2,A_23_P408955,NM_004091,0.86,1356
BFSP2,"beaded filament structural protein 2, phakinin",A_23_P159316,NM_003571,0.86,1357
MBTPS1,"membrane-bound transcription factor protease, site 1",A_24_P378368,NM_003791,0.87,1358
ARMCX2,"armadillo repeat containing, X-linked 2",A_23_P73747,NM_014782,1.11,1359
MGC4659,hole gene,A_23_P61987,NM_025268,1.14,1360
FAM65A,"family with sequence similarity 65, member A",A_32_P230868,NM_024519,0.86,1361
FCRL4,Fc receptor-like 4,A_23_P115192,NM_031282,0.87,1362
AUTS2,autism susceptibility candidate 2,A_23_P122906,NM_015570,1.11,1363
RAFTLIN,raft-linking protein,A_23_P315571,NM_015150,1.14,1364
THC2408798,,A_32_P116538,hc,1.11,1365
BC063599,,A_24_P306905,b,0.90,1366
TM7SF1,transmembrane 7 superfamily member 1 (upregulated in kidney),A_23_P46149,NM_003272,1.14,1367
RAGE,renal tumor antigen,A_23_P76731,NM_014226,1.10,1368
LOC115294,similar to hypothetical protein FLJ10883,A_32_P98435,b,1.13,1369
PSPH,phosphoserine phosphatase,A_23_P251984,NM_004577,1.13,1370
INHBA,"inhibin, beta A (activin A, activin AB alpha polypeptide)",A_23_P122924,NM_002192,1.14,1371
SLC9A3R1,"solute carrier family 9 (sodium/hydrogen exchanger), isoform 3 regulator 1",A_23_P308519,NM_004252,0.87,1372
ZP3,zona pellucida glycoprotein 3 (sperm receptor),A_24_P95059,NM_007155,0.89,1373
SLC43A2,"solute carrier family 43, member 2",A_24_P296508,NM_152346,0.86,1374
RSAD2,radical S-adenosyl methionine domain containing 2,A_24_P28722,NM_080657,0.86,1375
FGD6,"FYVE, RhoGEF and PH domain containing 6",A_23_P73220,NM_018351,1.14,1376
ZNF160,zinc finger protein 160,A_24_P241792,NM_198893,1.13,1377
A_32_P52046,,A_32_P52046,0,1.11,1378
ERCC6,"excision repair cross-complementing rodent repair deficiency, complementation group 6",A_23_P1292,NM_000124,1.15,1379
THC2304444,,A_32_P16462,hc,1.14,1380
AK096196,,A_24_P324054,b,0.87,1381
GALNT1,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (GalNAc-T1),A_23_P306105,NM_020474,0.87,1382
TCL1B,T-cell leukemia/lymphoma 1B,A_23_P48495,NM_199206,1.10,1383
NCF1,"neutrophil cytosolic factor 1 (47kDa, chronic granulomatous disease, autosomal 1)",A_23_P42746,NM_000265,0.87,1384
THC2447059,,A_32_P221619,hc,NA,1385
PDLIM5,PDZ and LIM domain 5,A_24_P174641,NM_006457,0.87,1386
AL832717,,A_24_P944154,b,0.85,1387
PRKRA,"protein kinase, interferon-inducible double stranded RNA dependent activator",A_23_P91019,NM_003690,1.14,1388
NTNG1,netrin G1,A_23_P201547,NM_014917,1.16,1389
CNKSR3,CNKSR family member 3,A_24_P66592,NM_173515,0.87,1390
CCL3,chemokine (C-C motif) ligand 3,A_23_P373017,NM_002983,0.87,1391
CAV1,"caveolin 1, caveolae protein, 22kDa",A_24_P12626,NM_001753,0.87,1392
LOC400969,similar to CDNA sequence BC012256,A_32_P218707,XM_379108,0.86,1393
CDH24,cadherin-like 24,A_23_P405267,b,0.87,1394
C9orf140,chromosome 9 open reading frame 140,A_24_P100517,NM_178448,0.86,1395
IGSF4,"immunoglobulin superfamily, member 4",A_23_P203120,NM_014333,0.88,1396
PCDHB9,protocadherin beta 9,A_24_P380284,NM_019119,1.09,1397
C9orf111,chromosome 9 open reading frame 111,A_24_P453855,b,NA,1398
NALP2,"NACHT, leucine rich repeat and PYD containing 2",A_24_P213161,NM_017852,0.90,1399
SFTPA1,"surfactant, pulmonary-associated protein A1",A_24_P928658,NM_005411,0.85,1400
HNRPLL,heterogeneous nuclear ribonucleoprotein L-like,A_24_P916378,b,1.13,1401
JARID1B,"Jumonji, AT rich interactive domain 1B (RBP2-like)",A_32_P70724,NM_006618,1.12,1402
PSCD4,"pleckstrin homology, Sec7 and coiled-coil domains 4",A_23_P155057,NM_013385,0.86,1403
AK057015,,A_24_P277511,b,1.14,1404
C14orf65,chromosome 14 open reading frame 65,A_23_P37391,b,1.09,1405
AF037219,,A_32_P45375,b,NA,1406
FLJ31204,hypothetical protein FLJ31204,A_23_P113471,NM_174912,1.12,1407
NGFRAP1,nerve growth factor receptor (TNFRSF16) associated protein 1,A_23_P45524,NM_014380,0.90,1408
GNAZ,"guanine nucleotide binding protein (G protein), alpha z polypeptide",A_23_P211363,NM_002073,1.11,1409
BQ028381,,A_32_P210407,b,0.91,1410
FLJ39441,hypothetical protein FLJ39441,A_23_P328237,NM_194285,0.87,1411
GNG11,"guanine nucleotide binding protein (G protein), gamma 11",A_23_P111701,NM_004126,1.11,1412
FAIM,Fas apoptotic inhibitory molecule,A_23_P253932,NM_018147,0.85,1413
MMP7,"matrix metalloproteinase 7 (matrilysin, uterine)",A_23_P52761,NM_002423,1.02,1414
TUBB2,"tubulin, beta 2",A_23_P19291,NM_001069,1.12,1415
KATNAL2,katanin p60 subunit A-like 2,A_32_P790284,NM_031303,0.86,1416
PIP5K2A,"phosphatidylinositol-4-phosphate 5-kinase, type II, alpha",A_24_P316234,b,NA,1417
ANXA11,annexin A11,A_23_P35399,NM_145869,0.87,1418
A_32_P133926,,A_32_P133926,0,1.13,1419
C19orf6,chromosome 19 open reading frame 6,A_23_P90375,NM_033420,0.87,1420
FLT1,fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor),A_24_P42755,NM_002019,0.86,1421
EPLIN,epithelial protein lost in neoplasm beta,A_23_P151267,NM_016357,1.14,1422
KCNK1,"potassium channel, subfamily K, member 1",A_23_P126075,NM_002245,0.88,1423
BC072415,,A_23_P380076,b,1.13,1424
BQ189193,,A_23_P166280,b,1.14,1425
ENST00000244221,,A_24_P860797,ns,0.87,1426
FNDC3B,fibronectin type III domain containing 3B,A_24_P919304,b,0.87,1427
TMEM44,transmembrane protein 44,A_23_P428842,NM_138399,0.89,1428
LY6K,"lymphocyte antigen 6 complex, locus K",A_23_P397293,NM_017527,1.15,1429
CDKN2A,"cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)",A_23_P43484,NM_058197,0.87,1430
TSPAN4,tetraspanin 4,A_23_P316741,NM_003271,0.86,1431
GlyBP,"glycine-, glutamate-, thienylcyclohexylpiperidine-binding protein",A_23_P200043,NM_014704,1.13,1432
ZYG11B,zyg-11 homolog B (C. elegans),A_24_P49533,NM_024646,1.13,1433
DKFZP586A0522,DKFZP586A0522 protein,A_24_P941773,b,0.92,1434
TMEM51,transmembrane protein 51,A_23_P12044,NM_018022,0.85,1435
ENST00000344402,,A_24_P161345,ns,0.87,1436
LRRC8C,"leucine rich repeat containing 8 family, member C",A_23_P103775,NM_032270,0.86,1437
BI836406,,A_32_P50973,b,0.90,1438
ZNF395,zinc finger protein 395,A_23_P146077,NM_018660,1.13,1439
SCHIP1,schwannomin interacting protein 1,A_32_P62863,NM_014575,0.89,1440
MAP2K6,mitogen-activated protein kinase kinase 6,A_23_P207445,NM_002758,1.14,1441
ANKRD29,ankyrin repeat domain 29,A_23_P412577,NM_173505,0.86,1442
HLA-DPB1,"major histocompatibility complex, class II, DP beta 1",A_23_P258769,NM_002121,1.13,1443
YIPF3,"Yip1 domain family, member 3",A_23_P111005,NM_015388,0.87,1444
EST1B,Est1p-like protein B,A_23_P322043,NM_015327,0.87,1445
RABGAP1L,RAB GTPase activating protein 1-like,A_23_P200325,NM_014857,1.14,1446
TRIM34,tripartite motif-containing 34,A_23_P124190,NM_130390,1.14,1447
GPR171,G protein-coupled receptor 171,A_23_P253317,NM_013308,0.86,1448
BF869497,,A_24_P118341,b,0.88,1449
AF070529,,A_32_P3113,b,1.13,1450
FLJ39370,hypothetical protein FLJ39370,A_23_P58390,NM_152400,1.12,1451
TRPM2,"transient receptor potential cation channel, subfamily M, member 2",A_24_P27977,NM_001001188,0.87,1452
IRF2BP2,interferon regulatory factor 2 binding protein 2,A_23_P46588,b,1.14,1453
CPNE8,copine VIII,A_23_P87556,NM_153634,0.87,1454
NRGN,"neurogranin (protein kinase C substrate, RC3)",A_23_P116264,NM_006176,0.86,1455
