Gene,Locus,Log2 Fold Change,p value,q value
USP53,chr4:120133781-120216673,0.424885,0.0022,0.0220337
CISD1,chr10:60028861-60049019,0.425178,0.00195,0.0202119
TMEM87A,chr15:42502725-42565755,0.426262,0.00095,0.011435
SGPP1,chr14:64150934-64194756,0.428024,0.002,0.0206319
FAM5B,chr1:177140632-177251558,0.428393,0.00125,0.0142328
GMFB,chr14:54941208-54955744,0.429691,0.0001,0.00188184
KCNK3,chr2:26915580-26954066,0.431432,0.00185,0.0193909
CLIC1,chr6_ssto_hap7:3029174-3035164,0.431653,0.0002,0.00334015
DNAJB11,chr3:186288466-186303589,0.431899,0.00055,0.00749009
SLC24A1,chr15:65914269-65948598,0.433589,0.00645,0.0494059
THG1L,chr5:157158322-157166772,0.433918,0.00445,0.0377628
GGH,chr8:63927638-63951610,0.434031,0.0014,0.0155081
SMS,chrX:21958690-22012955,0.435719,0.0001,0.00188184
LIMK2,chr22:31608249-31676066,0.4363,0.00155,0.0168131
ENC1,chr5:73923230-73937249,0.436693,0.00085,0.0105223
TMEM219,chr16:29973350-29984373,0.437386,0.00215,0.0216325
CRISPLD1,chr8:75896707-75946793,0.438025,0.00145,0.0159001
S100A11,chr1:152004981-152009511,0.438041,0.00075,0.00960294
TMEM258,chr11:61556601-61560085,0.439092,0.00025,0.00400613
PCK2,chr14:24563482-24573339,0.439824,0.0055,0.0441759
METTL7A,chr12:51318533-51326300,0.439996,0.00055,0.00749009
TMED9,chr5:177019212-177023099,0.440615,0.0011,0.0128843
SGCE,chr7:94214535-94285521,0.441355,0.0006,0.00801227
TMEM167A,chr5:82348664-82373272,0.442164,0.00005,0.00102997
LEPRE1,chr1:43212005-43232755,0.443756,0.00045,0.00638804
MED18,chr1:28655512-28662478,0.443923,0.0063,0.0485702
VLDLR,chr9:2535654-2654485,0.443941,0.00285,0.026855
ZBTB47,chr3:42695175-42709072,0.445235,0.0032,0.0292661
SLC35B2,chr6:44221837-44225283,0.445291,0.0002,0.00334015
HAX1,chr1:154245038-154248355,0.445787,0.0009,0.010985
PER3,chr1:7844762-7905237,0.447511,0.00255,0.024596
ADI1,chr2:3501689-3523350,0.449211,0.0004,0.0058565
TDG,chr12:104359592-104382656,0.450532,0.00005,0.00102997
ZNF528,chr19:52901120-52921657,0.45135,0.0008,0.0100173
BLOC1S1,chr12:56109817-56118526,0.451427,0.00125,0.0142328
CD99L2,chrX:149934808-150067289,0.452586,0.0004,0.0058565
RIMS4,chr20:43374487-43438979,0.452731,0.0002,0.00334015
LSM3,chr3:14220227-14239869,0.453626,0.0006,0.00801227
PSAT1,chr9:80912058-80945009,0.453791,0.0001,0.00188184
BCL2L1,chr20:30252260-30310656,0.453941,0.00015,0.002612
TPM4,chr19:16178316-16213813,0.454134,0.00025,0.00400613
ALDH9A1,chr1:165631448-165667900,0.455449,0.00025,0.00400613
FASTK,chr7:150773707-150777970,0.457919,0.00075,0.00960294
ZCRB1,chr12:42705887-42719932,0.458103,0.0002,0.00334015
RPS27L,chr15:63445538-63449741,0.459883,0.00005,0.00102997
TMEM136,chr11:120195837-120204388,0.460377,0.0013,0.0146869
EPM2AIP1,chr3:37027356-37034795,0.461916,0.00005,0.00102997
CHST11,chr12:104850691-105155792,0.462174,0.00425,0.0364206
AEN,chr15:89164526-89175512,0.462375,0.00005,0.00102997
RIT1,chr1:155867598-155881193,0.463355,0.0004,0.0058565
GNB4,chr3:179113875-179169371,0.463665,0.00005,0.00102997
NAALAD2,chr11:89867817-89925779,0.46509,0.00565,0.0449659
SYS1,chr20:43990576-44039250,0.46524,0.004,0.0346879
NDUFA1,chrX:119004494-119010629,0.466938,0.00075,0.00960294
ASPH,chr8:62200524-62627199,0.467802,0.0002,0.00334015
MESDC1,chr15:81293294-81296345,0.468951,0.0011,0.0128843
PANX1,chr11:93862093-93915137,0.469355,0.00015,0.002612
LRRC16A,chr6:25279655-25620758,0.470106,0.0051,0.0417592
DCP2,chr5:112312406-112824527,0.471671,0.0006,0.00801227
NRBF2,chr10:64893006-64914786,0.47178,0.00115,0.013374
TOMM22,chr22:39077953-39080766,0.472357,0.00025,0.00400613
APTX,chr9:32972603-33001639,0.472673,0.00115,0.013374
CNIH,chr14:54893646-54908148,0.472875,0.00005,0.00102997
WDYHV1,chr8:124428964-124454260,0.474237,0.0012,0.0137958
PCDH17,chr13:58205788-58303065,0.475037,0.00005,0.00102997
HECW2,chr2:197063976-197457335,0.475144,0.00385,0.033723
ZNF439,chr19:11976843-11980306,0.475357,0.00575,0.045595
FRG1,chr4:190861973-190884359,0.47579,0.0008,0.0100173
CSAG1,chrX:151903227-151909518,0.478288,0.004,0.0346879
FLAD1,chr1:154955769-154965587,0.478722,0.00015,0.002612
RMDN3,chr15:41028085-41047458,0.479432,0.00485,0.040191
ALG10B,chr12:38710556-38723528,0.480244,0.0003,0.00466429
SGPL1,chr10:72575703-72640932,0.480856,0.0001,0.00188184
PBXIP1,chr1:154916558-154928567,0.483213,0.00015,0.002612
SNN,chr16:11762288-11836648,0.483473,0.0026,0.0250044
SHMT2,chr12:57623355-57634475,0.48417,0.0001,0.00188184
GOLT1B,chr12:21654698-21671337,0.485725,0.0001,0.00188184
COPZ1,chr12:54718873-54745635,0.4858,0.00005,0.00102997
PLGRKT,chr9:5357966-5437937,0.486823,0.00225,0.0223971
YRDC,chr1:38268613-38275126,0.487165,0.0062,0.0482263
TMCO1,chr1:165693527-165738159,0.487286,0.0001,0.00188184
COL16A1,chr1:32117847-32169768,0.487472,0.0023,0.0227561
TAPT1,chr4:16162127-16228161,0.48755,0.0014,0.0155081
ACTG1,chr17:79476996-79479892,0.488213,0.00165,0.0176631
CMTM3,chr16:66637934-66647795,0.489258,0.0014,0.0155081
COX7A2L,chr2:42577644-42588356,0.490382,0.00005,0.00102997
AKIRIN1,chr1:39456915-39471737,0.491077,0.00005,0.00102997
SLC35A3,chr1:100435344-100492534,0.491304,0.00005,0.00102997
TXNIP,chr1:145438461-145442628,0.491769,0.00005,0.00102997
PUS3,chr11:125753508-125773116,0.49245,0.00305,0.0282504
AGA,chr4:178351928-178363657,0.49384,0.002,0.0206319
TRIM22,chr11:5710816-5732093,0.497664,0.0006,0.00801227
PSMG1,chr21:40547371-40555440,0.500879,0.0005,0.00693943
HIPK3,chr11:33279167-33375939,0.501275,0.00005,0.00102997
ADIPOR1,chr1:202909959-202927700,0.501326,0.00005,0.00102997
SS18,chr18:23596216-23670611,0.502769,0.00005,0.00102997
COIL,chr17:55015560-55038411,0.505396,0.00015,0.002612
CCDC109B,chr4:110481354-110608872,0.506176,0.0051,0.0417592
AAGAB,chr15:67493012-67819641,0.506504,0.00005,0.00102997
ABCD1,chrX:152990322-153010216,0.507112,0.0011,0.0128843
RNF14,chr5:141346401-141369856,0.508875,0.00005,0.00102997
HGF,chr7:81331443-81399452,0.509033,0.00305,0.0282504
ST3GAL3,chr1:44173203-44396837,0.509645,0.00205,0.0210645
FAM177A1,chr14:35514112-35552589,0.509769,0.00005,0.00102997
TCAIM,chr3:44379610-44450940,0.510277,0.00015,0.002612
ZNF736,chr7:63773185-63810017,0.510774,0.00025,0.00400613
GLT1D1,chr12:129338080-129469509,0.511069,0.00525,0.0427196
GPR180,chr13:95254103-95286899,0.511146,0.0001,0.00188184
EIF3D,chr22:36906896-36925277,0.511239,0.00005,0.00102997
SMPD1,chr11:6411643-6416228,0.511518,0.0006,0.00801227
ARNTL,chr11:13299324-13408812,0.513114,0.0011,0.0128843
TMEM185A,chrX:148678215-148713487,0.514277,0.00295,0.0275587
VPS28,chr8:145648999-145653927,0.514964,0.0005,0.00693943
THNSL1,chr10:25270907-25351208,0.515038,0.00325,0.0296197
AP1S2,chrX:15843928-15873137,0.516461,0.00005,0.00102997
STX3,chr11:59522531-59573355,0.51663,0.001,0.0119378
PTBP3,chr9:114758831-115112545,0.516726,0.00005,0.00102997
ANKRA2,chr5:72848024-72861511,0.518893,0.0013,0.0146869
WWC3,chrX:9983794-10112518,0.519876,0.00015,0.002612
NKD2,chr5:1009076-1038927,0.520347,0.0032,0.0292661
C4orf3,chr4:120217573-120225600,0.521133,0.00005,0.00102997
CAMK2N1,chr1:20808883-20812728,0.52155,0.00015,0.002612
SLC4A8,chr12:51745832-51909547,0.523296,0.0045,0.0380142
MICAL2,chr11:12132137-12285331,0.524136,0.0001,0.00188184
RTCA,chr1:100731713-100758325,0.524716,0.00005,0.00102997
ZNF586,chr19:58281019-58291984,0.526883,0.0059,0.0464461
SLC43A2,chr17:1477695-1532130,0.530408,0.0037,0.0326721
SGK1,chr6:134490383-134639196,0.531281,0.00025,0.00400613
CHPF2,chr7:150929584-150935905,0.531555,0.00005,0.00102997
LAMTOR4,chr7:99746529-99751833,0.533048,0.00005,0.00102997
ALPK2,chr18:56148481-56296189,0.535354,0.00295,0.0275587
TNFRSF10B,chr8:22844929-22941132,0.537104,0.00005,0.00102997
PXDC1,chr6:3722835-3752246,0.537403,0.0006,0.00801227
TMEM55A,chr8:92006501-92053203,0.539769,0.0021,0.0213266
KXD1,chr19:18668571-18680197,0.539871,0.00005,0.00102997
ACAP2,chr3:194995464-195163817,0.540839,0.00005,0.00102997
TWF1,chr12:44187525-44200178,0.542034,0.00005,0.00102997
TMEM130,chr7:98444110-98467673,0.542972,0.00265,0.0253918
AGO4,chr1:36273827-36323490,0.544092,0.00005,0.00102997
PSMB10,chr16:67968406-67970780,0.545168,0.00315,0.02891
HHAT,chr1:210501595-210849638,0.546373,0.0004,0.0058565
ZNF599,chr19:35248978-35264134,0.546695,0.0063,0.0485702
ABHD14B,chr3:52002525-52008646,0.549769,0.00065,0.00854024
TMEM245,chr9:111777414-111882225,0.552116,0.00005,0.00102997
RCBTB2,chr13:49063098-49107316,0.552446,0.0023,0.0227561
ZNF783,chr7:148959261-148982085,0.553643,0.0021,0.0213266
DPH3,chr3:16298567-16306496,0.555906,0.00005,0.00102997
DNAH1,chr3:52350334-52434513,0.557645,0.0022,0.0220337
NF2,chr22:29999544-30094589,0.557904,0.00005,0.00102997
SRPR,chr11:126081618-126138877,0.558053,0.00005,0.00102997
ARMC5,chr16:31470316-31478488,0.55816,0.0032,0.0292661
ICAM1,chr19:10381516-10397291,0.559276,0.00045,0.00638804
CHIC1,chrX:72782983-72906937,0.559648,0.00035,0.00530278
SYNE1,chr6:152442818-152958534,0.560018,0.00005,0.00102997
ARHGDIB,chr12:15094949-15114562,0.560161,0.00005,0.00102997
OSTM1,chr6:108362612-108395941,0.561251,0.00005,0.00102997
ZC3H10,chr12:56512029-56516278,0.562286,0.00225,0.0223971
FAM111A,chr11:58910317-58922511,0.562677,0.0007,0.00908748
ADPRM,chr17:10600926-10614875,0.562821,0.00485,0.040191
SLC41A2,chr12:105197274-105322472,0.563045,0.00175,0.0185813
STX12,chr1:28099693-28150963,0.564091,0.0001,0.00188184
CARD10,chr22:37886399-37915210,0.565767,0.00475,0.0395631
SFT2D1,chr6:166733516-166755991,0.566073,0.00285,0.026855
ZFAND2A,chr7:1192542-1199855,0.568176,0.004,0.0346879
ETFB,chr19:51848408-51869672,0.570162,0.00085,0.0105223
ASNS,chr7:97481428-97501854,0.570471,0.00005,0.00102997
C12orf5,chr12:4430358-4469190,0.573888,0.0001,0.00188184
NFE2L3,chr7:26191846-26226756,0.574508,0.00005,0.00102997
SRD5A3,chr4:56212387-56251747,0.575319,0.0036,0.0319619
ARHGAP36,chrX:130192215-130223857,0.579042,0.00005,0.00102997
FAM214B,chr9:35104117-35115893,0.579156,0.0003,0.00466429
SNAP23,chr15:42787503-42825259,0.580353,0.00005,0.00102997
ENOX2,chrX:129757356-130037208,0.580407,0.0001,0.00188184
TMEM229A,chr7:123670969-123673523,0.585017,0.00005,0.00102997
DCTD,chr4:183811243-183838630,0.585504,0.00005,0.00102997
GABARAPL1,chr12:10365488-10375724,0.586657,0.0009,0.010985
UAP1L1,chr9:139971952-139978990,0.586987,0.00495,0.0408641
PEX2,chr8:77892493-77913280,0.587201,0.00005,0.00102997
GSTO1,chr10:106013951-106027222,0.587386,0.00005,0.00102997
METTL21B,chr12:58166382-58176324,0.588155,0.00155,0.0168131
CYSTM1,chr5:139554652-139623374,0.591659,0.00145,0.0159001
SSBP1,chr7:141438120-141450288,0.594521,0.00005,0.00102997
CRYBG3,chr3:97540883-97691295,0.595592,0.0024,0.0234963
DHFRL1,chr3:93776765-93845630,0.597018,0.00315,0.02891
LONRF1,chr8:12579405-12612992,0.598331,0.0001,0.00188184
NFKBIE,chr6:44225902-44233525,0.598722,0.00625,0.0483847
CTGF,chr6:132269316-132272518,0.599325,0.00005,0.00102997
ULK3,chr15:75128458-75135552,0.60113,0.00005,0.00102997
NDUFS4,chr5:52856464-52979171,0.60218,0.00005,0.00102997
FAM206A,chr9:111696672-111703237,0.604882,0.00005,0.00102997
C19orf24,chr19:1275519-1279243,0.605568,0.0028,0.0265756
CD58,chr1:117057155-117113715,0.608696,0.0017,0.0181241
CCNC,chr6:99990262-100016690,0.609528,0.00005,0.00102997
CCDC22,chrX:49091926-49121288,0.609534,0.00435,0.0371314
UBA7,chr3:49842637-49851391,0.60963,0.005,0.0411728
MAOB,chrX:43625856-43741721,0.609697,0.00075,0.00960294
ISY1,chr3:128806411-128880073,0.613902,0.00045,0.00638804
KHNYN,chr14:24899140-24912007,0.615846,0.00005,0.00102997
OCIAD2,chr4:48887404-48908815,0.619593,0.00005,0.00102997
SPARC,chr5:151040656-151066615,0.619593,0.00005,0.00102997
SLC18A1,chr8:20002365-20040717,0.61997,0.00105,0.0124212
ZFAND2B,chr2:220071505-220074373,0.620227,0.00055,0.00749009
IQGAP2,chr5:75699148-76003957,0.621578,0.0008,0.0100173
ENPP2,chr8:120569316-120651106,0.622379,0.0001,0.00188184
PHLDA3,chr1:201434606-201438299,0.622859,0.0001,0.00188184
RPL39L,chr3:186838740-186857263,0.627936,0.0002,0.00334015
TIGD2,chr4:90033967-90036052,0.628276,0.00215,0.0216325
EDA2R,chrX:65815481-65859140,0.62873,0.00005,0.00102997
COX7B,chrX:77154960-77160881,0.631426,0.00005,0.00102997
ITGB3,chr17:45331207-45390077,0.632486,0.00075,0.00960294
OMA1,chr1:58946390-59012446,0.632659,0.00105,0.0124212
ARRDC2,chr19:18111943-18124911,0.634461,0.003,0.0279259
TRMT10A,chr4:100467863-100485189,0.635757,0.00235,0.0231107
SQSTM1,chr5:179224597-179285840,0.637363,0.0001,0.00188184
SLC9A8,chr20:48429249-48508779,0.638302,0.0006,0.00801227
CDK17,chr12:96672038-96794366,0.638699,0.00005,0.00102997
EMB,chr5:49692030-49737234,0.639329,0.00005,0.00102997
NUDT1,chr7:2281856-2290780,0.64121,0.00005,0.00102997
TUSC1,chr9:25676386-25678856,0.641403,0.0006,0.00801227
SLC41A3,chr3:125725199-125820391,0.642695,0.00005,0.00102997
TCEB1,chr8:74857372-74884522,0.643622,0.00005,0.00102997
NLRX1,chr11:119039439-119054725,0.647546,0.0002,0.00334015
BAK1,chr6:33540322-33548070,0.647835,0.00015,0.002612
SFXN5,chr2:73169164-73298965,0.652309,0.00085,0.0105223
TMEM209,chr7:129804554-129845338,0.652435,0.00005,0.00102997
PRKAB2,chr1:146626684-146644129,0.653457,0.00005,0.00102997
WASH1,chr9:11986-29739,0.65372,0.0007,0.00908748
ELL2,chr5:95220801-95297775,0.654595,0.00005,0.00102997
TAP1,chr6_ssto_hap7:4239266-4252521,0.654645,0.0021,0.0213266
CEBPB,chr20:48807119-48809227,0.654729,0.0027,0.0257575
C12orf45,chr12:105380097-105388505,0.655217,0.0008,0.0100173
UFC1,chr1:161123533-161128646,0.65687,0.00005,0.00102997
ITGA6,chr2:173292313-173371181,0.657865,0.00005,0.00102997
DOCK5,chr8:25042286-25270619,0.658372,0.00005,0.00102997
ABRACL,chr6:139349818-139364439,0.659149,0.00145,0.0159001
YOD1,chr1:207217193-207226325,0.659881,0.00005,0.00102997
KIFC3,chr16:57792128-57836439,0.661261,0.00005,0.00102997
UHMK1,chr1:162466963-162499419,0.661694,0.00005,0.00102997
NUDT2,chr9:34329503-34343711,0.665298,0.0003,0.00466429
VPS54,chr2:64119666-64246214,0.666893,0.00005,0.00102997
TTC23,chr15:99676527-99789815,0.667029,0.0033,0.0299084
RGMB,chr5:98104998-98132198,0.667698,0.00005,0.00102997
C17orf59,chr17:8091650-8093564,0.668165,0.00335,0.0301939
HMGA2,chr12:66151799-66360071,0.668167,0.00005,0.00102997
BCAS4,chr20:49411466-49493714,0.673102,0.00315,0.02891
SEC11C,chr18:56807124-56826063,0.67367,0.00005,0.00102997
NOX4,chr11:89057521-89322779,0.679939,0.0039,0.0340468
NIPSNAP3A,chr9:107509968-107522403,0.681614,0.00005,0.00102997
ORAI3,chr16:30960404-30966259,0.682046,0.00005,0.00102997
ZNF880,chr19:52873169-52889046,0.684101,0.00005,0.00102997
NXT2,chrX:108779009-108787927,0.685852,0.00005,0.00102997
UAP1,chr1:162531295-162569633,0.687023,0.00005,0.00102997
ABCA5,chr17:67144147-67323323,0.687218,0.00025,0.00400613
ALG5,chr13:37523907-37573504,0.687976,0.00005,0.00102997
NMB,chr15:85198359-85201802,0.68846,0.00125,0.0142328
NFASC,chr1:204797781-204991950,0.688819,0.0031,0.0285716
ZSCAN20,chr1:33938231-33961995,0.694296,0.0001,0.00188184
TNFAIP6,chr2:152214105-152236562,0.697295,0.00005,0.00102997
GOLGA8A,chr15:34671269-34729667,0.697516,0.00025,0.00400613
KCTD7,chr7:66093867-66108216,0.698058,0.00005,0.00102997
CNTN4,chr3:2140549-3099645,0.703632,0.00005,0.00102997
C9orf69,chr9:139006426-139010731,0.704564,0.00005,0.00102997
ABLIM3,chr5:148521053-148639999,0.706024,0.0029,0.0272083
PDLIM5,chr4:95373007-95589378,0.706374,0.00005,0.00102997
APOLD1,chr12:12878850-12944399,0.709958,0.00025,0.00400613
PLXND1,chr3:129274055-129325582,0.712029,0.00005,0.00102997
NFKB2,chr10:104153866-104162286,0.713026,0.00015,0.002612
ALDH16A1,chr19:49956472-49974305,0.713343,0.00005,0.00102997
PAFAH2,chr1:26286257-26324648,0.713939,0.00005,0.00102997
DNAL4,chr22:39174512-39190161,0.715093,0.00075,0.00960294
CTSK,chr1:150768683-150780917,0.717812,0.00415,0.0357278
GABPB1,chr15:50569388-50650503,0.718269,0.00005,0.00102997
DDX60,chr4:169137441-169239958,0.719105,0.00005,0.00102997
NEFL,chr8:24808468-24814383,0.723353,0.00005,0.00102997
DRAM1,chr12:102271104-102317401,0.723499,0.00005,0.00102997
NBEA,chr13:35516423-36705514,0.724414,0.00005,0.00102997
MARVELD1,chr10:99473464-99477909,0.725341,0.00005,0.00102997
GBP3,chr1:89472359-89488549,0.739786,0.00035,0.00530278
FXYD5,chr19:35645624-35660788,0.742422,0.00005,0.00102997
CSRP1,chr1:201452657-201476387,0.744494,0.00005,0.00102997
PPP2R1B,chr11:111473169-111637169,0.745307,0.00005,0.00102997
HBEGF,chr5:139712427-139726188,0.747749,0.0009,0.010985
SMIM4,chr3:52570620-52574586,0.74799,0.0033,0.0299084
TMTC1,chr12:29653745-29937692,0.748238,0.0011,0.0128843
RABEP2,chr16:28889808-28936532,0.754481,0.00045,0.00638804
MMADHC,chr2:150426146-150444330,0.760101,0.00005,0.00102997
PSG5,chr19:43671894-43690688,0.765122,0.0015,0.0163933
POPDC3,chr6:105585561-105627858,0.775661,0.0001,0.00188184
LIPT1,chr2:99771417-99779613,0.779242,0.0009,0.010985
HECTD2,chr10:93066718-93371217,0.782781,0.00005,0.00102997
ADAMTS5,chr21:28290230-28339439,0.78716,0.00005,0.00102997
PLA2G6,chr22:38507501-38577836,0.78751,0.00385,0.033723
ITPRIP,chr10:106069453-106098251,0.789926,0.00005,0.00102997
NPTX1,chr17:78440632-78450404,0.790197,0.0002,0.00334015
PDE7B,chr6:136172833-136516709,0.794221,0.00005,0.00102997
SESN2,chr1:28585962-28609002,0.795995,0.00005,0.00102997
CD68,chr17:7482804-7485429,0.797246,0.00015,0.002612
GFPT1,chr2:69546900-69614386,0.800095,0.00005,0.00102997
ITGA5,chr12:54789044-54813050,0.801301,0.00005,0.00102997
TOMM7,chr7:22852250-22862471,0.802586,0.00005,0.00102997
TCEANC,chrX:13671306-13682247,0.802799,0.00545,0.0438552
HS3ST3A1,chr17:13399005-13505244,0.803246,0.00045,0.00638804
COTL1,chr16:84599203-84651669,0.807626,0.00005,0.00102997
IFIT3,chr10:91087601-91100725,0.811351,0.0041,0.035414
PEG10,chr7:94285636-94299006,0.811682,0.00005,0.00102997
ZNF75A,chr16:3348807-3368576,0.812734,0.00215,0.0216325
IL4R,chr16:27325229-27376099,0.822895,0.001,0.0119378
TMEM220,chr17:10616638-10718481,0.823158,0.00255,0.024596
C5orf28,chr5:43444353-43483992,0.826076,0.00005,0.00102997
PIGP,chr21:38437663-38445458,0.830814,0.00005,0.00102997
DNAJC1,chr10:22045476-22292650,0.831746,0.00005,0.00102997
CSRNP1,chr3:39183341-39195102,0.837138,0.0001,0.00188184
NABP1,chr2:192542797-192553248,0.839088,0.00035,0.00530278
SEL1L3,chr4:25749048-25864610,0.839789,0.00005,0.00102997
OTOR,chr20:16729002-16732809,0.84273,0.00045,0.00638804
GPCPD1,chr20:5525079-5591672,0.844449,0.00005,0.00102997
TNFRSF12A,chr16:3070312-3072383,0.845899,0.00005,0.00102997
PIK3IP1,chr22:31677578-31688520,0.857839,0.00005,0.00102997
ZYG11A,chr1:53308182-53360247,0.864083,0.00055,0.00749009
ADAMTS6,chr5:64444562-64777704,0.869066,0.00005,0.00102997
MPP4,chr2:202509596-202563417,0.870505,0.00035,0.00530278
GFRA1,chr10:117816441-118033126,0.870703,0.00005,0.00102997
KCTD18,chr2:201353683-201374792,0.876401,0.00005,0.00102997
F2RL2,chr5:75699148-76003957,0.880094,0.00005,0.00102997
NCAM2,chr21:22370632-22912517,0.881443,0.00015,0.002612
POSTN,chr13:38136718-38172981,0.885886,0.00005,0.00102997
FSTL3,chr19:676388-683392,0.888947,0.00005,0.00102997
NEGR1,chr1:71868624-72748277,0.889441,0.00005,0.00102997
EBF1,chr5:158122922-158526788,0.891508,0.0012,0.0137958
GALR1,chr18:74962007-74982096,0.897281,0.0045,0.0380142
HEY1,chr8:80676244-80680098,0.905779,0.00005,0.00102997
CNTNAP4,chr16:76311175-76593135,0.908309,0.00105,0.0124212
ZNF524,chr19:56111729-56114504,0.910843,0.0008,0.0100173
SPRYD3,chr12:53436972-53473204,0.920284,0.0009,0.010985
BDNF,chr11:27528398-27743605,0.923743,0.00005,0.00102997
GLIS3,chr9:3824127-4300035,0.925559,0.00005,0.00102997
TRAF3IP2,chr6:111804674-111927477,0.930181,0.00105,0.0124212
DPM3,chr1:155112366-155112996,0.93411,0.00005,0.00102997
BST1,chr4:15704572-15733796,0.935129,0.00025,0.00400613
GJD3,chr17:38516904-38520945,0.93791,0.00015,0.002612
CDKN1A,chr6:36644236-36655116,0.939934,0.00005,0.00102997
ANKAR,chr2:190540710-190611376,0.940734,0.00125,0.0142328
SLC25A34,chr1:16062808-16067884,0.946958,0.00225,0.0223971
LGR5,chr12:71833812-71978621,0.958797,0.00005,0.00102997
GTSF1,chr12:54849735-54867386,0.959571,0.00015,0.002612
ABCG1,chr21:43619798-43717354,0.962244,0.00005,0.00102997
C8orf4,chr8:40010986-40012827,0.963356,0.0014,0.0155081
SERPINE1,chr7:100770369-100782547,0.964889,0.00005,0.00102997
F2RL1,chr5:76114832-76131140,0.970187,0.00005,0.00102997
CLDN1,chr3:190023489-190040235,0.977331,0.0014,0.0155081
MSRA,chr8:9911829-10286401,0.981389,0.0001,0.00188184
ZNF274,chr19:58694395-58724927,0.982608,0.0001,0.00188184
RINL,chr19:39358471-39368919,0.989767,0.00005,0.00102997
PSG4,chr19:43696853-43709926,0.996036,0.00005,0.00102997
TFPI2,chr7:93514708-93520303,0.998012,0.00005,0.00102997
ANKRD33B,chr5:10564434-10657928,1.00669,0.00005,0.00102997
STAT5A,chr17:40439564-40463960,1.01121,0.00005,0.00102997
TNFAIP2,chr14:103592663-103603776,1.01122,0.00015,0.002612
CACNA1G,chr17:48633567-48704832,1.01815,0.00005,0.00102997
GABPA,chr21:27096790-27144771,1.0232,0.00005,0.00102997
SYT4,chr18:40847856-40857615,1.02851,0.00005,0.00102997
JAG1,chr20:10618331-10654694,1.03327,0.00005,0.00102997
CSDA,chr12:10851675-10875953,1.03389,0.00045,0.00638804
PTN,chr7:136912091-137028546,1.03809,0.00005,0.00102997
HERC5,chr4:89378267-89427319,1.03858,0.0001,0.00188184
CDC42EP1,chr22:37956470-37965410,1.04604,0.00015,0.002612
MYCT1,chr6:153019029-153045715,1.05397,0.0001,0.00188184
SNX10,chr7:26331514-26413949,1.05557,0.00035,0.00530278
GLIPR1,chr12:75874512-75905418,1.05713,0.00115,0.013374
PTPN18,chr2:131113579-131132982,1.05748,0.00005,0.00102997
VSNL1,chr2:17721806-17837706,1.06218,0.00065,0.00854024
SPINT1,chr15:41136245-41149853,1.0745,0.0004,0.0058565
SYCP2,chr20:58438617-58507209,1.07659,0.00005,0.00102997
GLYCTK,chr3:52321835-52329272,1.08489,0.00005,0.00102997
NPAP1,chr15:24920540-24928593,1.08579,0.0001,0.00188184
GNG11,chr7:93551015-93555826,1.08596,0.00005,0.00102997
RPL21,chr13:27825691-27830702,1.09242,0.0032,0.0292661
BACE2,chr21:42539727-42648524,1.09628,0.0012,0.0137958
TSPAN8,chr12:71518876-71551779,1.09701,0.00445,0.0377628
CMPK2,chr2:6980683-7006766,1.10127,0.00305,0.0282504
PINLYP,chr19:44080951-44086256,1.1044,0.00185,0.0193909
TIGD7,chr16:3348807-3368576,1.11108,0.00005,0.00102997
PTK2B,chr8:27168998-27316908,1.12019,0.00005,0.00102997
CHGB,chr20:5891973-5906005,1.1224,0.00005,0.00102997
PTPRR,chr12:71031852-71314584,1.12542,0.00005,0.00102997
HLA-B,chr6_ssto_hap7:2655407-2658748,1.14179,0.00005,0.00102997
PDCD1LG2,chr9:5510544-5571282,1.14412,0.00005,0.00102997
CHAC1,chr15:41245635-41248717,1.1469,0.00275,0.02612
DKK1,chr10:54074040-54077417,1.15111,0.00005,0.00102997
CDC42EP5,chr19:54976209-54984422,1.15459,0.0036,0.0319619
PHF11,chr13:50069800-50103117,1.16,0.00465,0.0389538
IL32,chr16:3115312-3119668,1.16012,0.00005,0.00102997
PSTK,chr10:124739555-124749907,1.17622,0.00035,0.00530278
CASP4,chr11:104813593-104839325,1.17681,0.00005,0.00102997
SPTSSB,chr3:161062579-161089871,1.19176,0.0007,0.00908748
MT2A,chr16:56642477-56643409,1.19797,0.00005,0.00102997
GDF15,chr19:18496967-18499986,1.21125,0.00005,0.00102997
BAALC,chr8:104145190-104242533,1.22807,0.00025,0.00400613
PAPPA,chr9:118916070-119164600,1.23029,0.00005,0.00102997
SLC37A1,chr21:43919741-44001550,1.25465,0.00065,0.00854024
SPATA18,chr4:52917592-52963458,1.2983,0.00015,0.002612
CTSO,chr4:156845269-156875048,1.3001,0.00005,0.00102997
CDKN2B,chr9:21994789-22121093,1.30089,0.00015,0.002612
ARHGAP20,chr11:110447758-110583912,1.31859,0.00005,0.00102997
GRB10,chr7:50657759-50861159,1.32142,0.00005,0.00102997
TMEM154,chr4:153547265-153601317,1.33439,0.00005,0.00102997
GPC3,chrX:132669775-133119673,1.38117,0.00005,0.00102997
NUAK2,chr1:205271190-205290883,1.40492,0.00005,0.00102997
PTGER2,chr14:52781015-52795322,1.41221,0.00005,0.00102997
PCOLCE2,chr3:142536701-142608045,1.41426,0.00005,0.00102997
INHA,chr2:220436953-220440435,1.44321,0.00535,0.0432906
KIRREL3,chr11:126293395-126870766,1.4696,0.0001,0.00188184
